港台,#genre#
八大戏剧,http://60.249.146.250:8588/http/60.251.39.91:8081/hls/66/808/ch23.m3u8
东森洋片,p2p://860969650:9906/ecc2509783204bc5b1a3eb8e0485afa9.ts
东森洋片,http://120.84.96.25:808/hls/33/index.m3u8
东森电影,p2p://860969650:9906/fcb2349e9add4546949e252dab867cdf.ts
东森电影,http://120.84.96.25:808/hls/32/index.m3u8
东森财经,http://60.249.146.250:8546/http/60.251.39.91:8081/hls/63/805/ch11.m3u8
东森综合,http://60.249.146.250:8581/http/60.251.39.91:8081/hls/63/805/ch12.m3u8
东森戏剧,http://60.249.146.250:8587/http/60.251.39.91:8081/hls/64/806/ch13.m3u8
东森超视,http://60.249.146.250:8582/http/60.251.39.91:8081/hls/64/806/ch14.m3u8
卫视中文,http://60.249.146.250:8579/http/60.251.39.91:8081/hls/62/804/ch05.m3u8
卫视电影,http://60.249.146.250:8553/http/60.251.39.91:8081/hls/62/804/ch07.m3u8
FOX电影,http://60.249.146.250:8560/http/60.251.39.91:8081/hls/62/804/ch08.m3u8
TVBS欢乐,http://60.249.146.250:8589/http/60.251.39.91:8081/hls/65/807/ch17.m3u8
中天综合,http://60.249.146.250:8583/http/60.251.39.91:8081/hls/67/809/ch25.m3u8
中天娱乐,http://60.249.146.250:8584/http/60.251.39.91:8081/hls/67/809/ch26.m3u8
纬来体育,http://60.249.146.250:8563/http/60.251.39.91:8081/hls/67/809/ch28.m3u8
纬来育乐,http://60.249.146.250:8562/http/60.251.39.91:8081/hls/68/810/ch30.m3u8
东风卫视,http://60.249.146.250:8585/http/60.251.39.91:8081/hls/68/810/ch31.m3u8
纬来综合,http://60.249.146.250:8518/http/60.251.39.91:8081/hls/68/810/ch32.m3u8
纬来戏剧,http://60.249.146.250:8590/http/60.251.39.91:8081/hls/69/811/ch33.m3u8
纬来日本,http://60.249.146.250:8591/http/60.251.39.91:8081/hls/69/811/ch34.m3u8
纬来电影,http://60.249.146.250:8555/http/60.251.39.91:8081/hls/69/811/ch35.m3u8
HBO亚洲,http://60.249.146.250:8580/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
HBO电影,http://60.249.146.250:8559/http/60.251.39.91:8081/hls/71/813/ch42.m3u8
AXN亚洲,http://60.249.146.250:8558/http/60.251.39.91:8081/hls/71/813/ch43.m3u8
探索发现,http://60.249.146.250:8510/http/60.251.39.91:8081/hls/71/813/ch44.m3u8
年代MUCH,http://60.249.146.250:8586/http/60.251.39.91:8081/hls/72/814/ch45.m3u8
好莱坞电影,http://60.249.146.250:8521/http/60.251.39.91:8081/hls/74/816/ch55.m3u8
优视综合,http://60.249.146.250:8523/http/60.251.39.91:8081/hls/76/818/momo_max.m3u8
龙华戏剧,http://60.249.146.250:8572/http/60.251.39.91:8066/hls/210/10010/cstv10.m3u8
龙华日韩,http://60.249.146.250:8535/http/60.251.39.91:8066/hls/210/10011/cstv11.m3u8
龙华偶像,http://60.249.146.250:8536/http/60.251.39.91:8066/hls/210/10012/cstv12.m3u8
龙华电影,http://60.249.146.250:8522/http/60.251.39.91:8066/hls/210/10014/cstv14.m3u8
博斯运动,http://60.249.146.250:8564/http/60.251.39.91:8066/hls/210/10018/cstv18.m3u8
ELEVEN1,http://60.249.146.250:8566/http/60.251.39.91:8078/hls/25/80/esport.m3u8
